,name,type,value,date
647,英屬維爾京群島,,0.0,1962
648,美属维京群岛,,36900000.0,1962
649,越南,,0.0,1962
650,瓦努阿图,,0.0,1962
651,萨摩亚,,0.0,1962
652,科索沃,,0.0,1962
653,也门共和国,,0.0,1962
654,南非,,8497830043.0,1962
655,赞比亚,,693142857.1,1962
656,津巴布韦,,1117601600.0,1962
657,阿鲁巴,,0.0,1963
658,阿富汗,,751111191.1,1963
659,安哥拉,,0.0,1963
660,阿尔巴尼亚,,0.0,1963
661,安道尔共和国,,0.0,1963
662,阿拉伯联合酋长国,,0.0,1963
663,阿根廷,,18272123664.0,1963
664,亚美尼亚,,0.0,1963
665,美属萨摩亚,,0.0,1963
666,安提瓜和巴布达,,0.0,1963
667,澳大利亚,,21501847911.0,1963
668,奥地利,,8374175258.0,1963
669,阿塞拜疆,,0.0,1963
670,布隆迪,,232749998.0,1963
671,比利时,,14260017387.0,1963
672,贝宁,,253927646.5,1963
673,布基纳法索,,394040749.1,1963
674,孟加拉国,,5319458351.0,1963
675,保加利亚,,0.0,1963
676,巴林,,0.0,1963
677,巴哈马,,237745098.0,1963
678,波斯尼亚和黑塞哥维那,,0.0,1963
679,白俄罗斯,,0.0,1963
680,伯利兹,,33749405.01,1963
681,百慕大,,96366652.31,1963
682,玻利维亚,,478805990.1,1963
683,巴西,,23021477292.0,1963
684,巴巴多斯,,0.0,1963
685,文莱达鲁萨兰国,,0.0,1963
686,不丹,,0.0,1963
687,博茨瓦纳,,38091150.57,1963
688,中非共和国,,129379097.9,1963
689,加拿大,,44657169109.0,1963
690,瑞士,,13063643796.0,1963
691,海峡群岛,,0.0,1963
692,智利,,5668187500.0,1963
693,中国,,50706799903.0,1963
694,科特迪瓦,,761047045.8,1963
695,喀麦隆,,723624365.3,1963
696,刚果（金）,,6213185743.0,1963
697,刚果（布）,,172233430.9,1963
698,哥伦比亚,,4836166667.0,1963
699,科摩罗,,0.0,1963
700,佛得角,,0.0,1963
701,哥斯达黎加,,511902136.8,1963
702,加勒比小国,,2284335164.0,1963
703,古巴,,0.0,1963
704,库拉索,,0.0,1963
705,开曼群岛,,0.0,1963
706,塞浦路斯,,0.0,1963
707,捷克共和国,,0.0,1963
708,德国,,0.0,1963
709,吉布提,,0.0,1963
710,多米尼克,,0.0,1963
711,丹麦,,8316692386.0,1963
712,多米尼加共和国,,940799900.0,1963
713,阿尔及利亚,,2703014867.0,1963
714,厄瓜多尔,,1824344492.0,1963
715,阿拉伯埃及共和国,,0.0,1963
716,厄立特里亚,,0.0,1963
717,西班牙,,19074913948.0,1963
718,爱沙尼亚,,0.0,1963
719,埃塞俄比亚,,0.0,1963
720,芬兰,,6885920329.0,1963
721,斐济,,129454728.6,1963
722,法国,,85551113767.0,1963
723,法罗群岛,,0.0,1963
724,密克罗尼西亚联邦,,0.0,1963
725,加蓬,,154480244.2,1963
726,英国,,85443766670.0,1963
727,格鲁吉亚,,0.0,1963
728,加纳,,1540797517.0,1963
729,直布罗陀,,0.0,1963
730,几内亚,,0.0,1963
731,冈比亚,,0.0,1963
732,几内亚比绍共和国,,0.0,1963
733,赤道几内亚,,10840095.13,1963
734,希腊,,5949478035.0,1963
735,格林纳达,,0.0,1963
736,格陵兰,,0.0,1963
737,危地马拉,,1262800000.0,1963
738,关岛,,0.0,1963
739,圭亚那,,175756868.7,1963
740,中国香港特别行政区,,1935298266.0,1963
741,洪都拉斯,,410200000.0,1963
742,克罗地亚,,0.0,1963
743,海地,,294883400.0,1963
744,匈牙利,,0.0,1963
745,印度尼西亚,,0.0,1963
